ANO_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_APROBACION,ANO_APROBACION,ENTIDAD,CONVOCATORIA,DESCRIPCION_FINANCIACION,PROGRAMA,AREA_TEMATICA,TIPO_PROYECTO,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,COD_DANE_ENT,DEPARTAMENTO_PROYECTO,CIUDAD_PROYECTO,COD_DANE_PRY
"2,010","122,452,129,204",An¿lisis longitudinal de los factores determinantes de la efectividad de un programa de comportamiento sustentable (CS) en el desarrollo de patrones de compra uso y disposici¿n de bienes de consumo y servicios p¿blicos en hogares bogotanos,15/12/2010,"2,010",FUNDACION UNIVERSITARIA DE CIENCIA Y TECNOLOGIA KONRAD LORENZ,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Estudios sectoriales y teoria economica,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","110,152,128,601",Microempresas trabajo y genero en el sector servicios el caso de las peluquerias y salones de belleza,15/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Estudios sectoriales y teoria economica,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","110,152,128,440",Pasion y razon,15/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Estudios sectoriales y teoria economica,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","120,652,128,429",Beneficios economicos de la reduccion del ruido por trafico vehicular en la ciudad de Medellin,15/12/2010,"2,010",UNIVERSIDAD DE MEDELLIN - UDEM,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Estudios sectoriales y teoria economica,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","111,552,128,269",Ordenes locales en reconfiguracion  de regulaciones acomodamientos y resistencias en regiones de intenso conflicto armado 1991-2010. Una investigacion comparada.,15/12/2010,"2,010",UNIVERSIDAD DE ANTIOQUIA - UDEA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Desarrollo regional y dinamica social,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","120,652,128,680",La participacion ciudadana en el proceso constituyente de 1991,15/12/2010,"2,010",UNIVERSIDAD DE MEDELLIN - UDEM,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Sistema politico y relaciones de poder,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","111,552,128,282",Accion colectiva en salud en Colombia en el contexto de la reforma a la salud 1994-2010Codigo proyecto PRE00503029312,15/12/2010,"2,010",UNIVERSIDAD DE ANTIOQUIA - UDEA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Sistema politico y relaciones de poder,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","111,552,128,249",Hegemonias enfrentadas. Burocratas y configuraciones estatales durante la guerra civil colombiana de 1859-1862,15/12/2010,"2,010",UNIVERSIDAD DE ANTIOQUIA - UDEA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Sistema politico y relaciones de poder,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","110,152,128,382",Escapando a la desdicha genealogica. El surgimiento y la participacion de las clases medias negras en la vida nacional colombiana.,15/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Sistema politico y relaciones de poder,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","111,552,128,789",La consulta previa como herramienta para la transformacion de contextos de desarrollo y la mitigacion de conflictos socioambientales,15/12/2010,"2,010",UNIVERSIDAD DE ANTIOQUIA - UDEA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Sistema politico y relaciones de poder,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
